Appearances,Company / Site,Domain,Type,What They're Selling,Queries They Appeared In,Why They Rank High (Organic)
6,FDIC,fdic.gov,Federal government,"Nothing — free Money Smart for Young People curriculum (PreK-12), parent guides","children and money; teaching children money; kids financial literacy; teaching kids money; financial literacy education for kids; financial literacy curriculum elementary","Federal .gov domain authority. Free standards-aligned curriculum earns thousands of backlinks from schools, banks, and state agencies. Dedicated hub pages with exact-match titles."
5,Ramsey Solutions,ramseysolutions.com + store.ramseysolutions.com,Media / publisher,"Kids' money books, Financial Peace Jr., Adventure Pack — direct CGB competitor","kids and money (x2 pages); teaching children money; teaching kids money; children's books about money; financial literacy books for kids","Massive content engine. Listicle titles that match search intent exactly (""15 Ways to Teach Kids About Money""). Huge brand search volume feeds domain authority. Store pages piggyback on article rankings."
4,Eastspring Investments,eastspring.com,Asset manager,"Nothing direct — ""Money Parenting"" content hub for brand marketing","children's financial literacy (implied); children and money; teaching children money; teaching kids money; kids financial literacy","A whole dedicated ""Money Parenting"" content hub, not one blog post. Exact-intent title (""20 Things to Teach Your Child About Finances""). Corporate domain authority."
4,MoneyTime,moneytimekids.com,EdTech (paid),"Online financial literacy course for kids 10–15, school + homeschool licenses","children's financial literacy; children and money; kids financial literacy; financial literacy education for kids","Exact-match domain (moneytimekids). Homepage title is the literal search phrase: ""Online Financial Literacy Course for Kids."" Single-topic site = strong topical relevance."
4,Charles Schwab,schwab.com + schwabmoneywise.com,Brokerage,"Brokerage accounts; free Moneywise lessons as content marketing","children and money; teaching children money; teaching kids money; financial literacy curriculum elementary","Top-tier domain authority. Runs a separate dedicated property (schwabmoneywise.com) just for this topic. Numbered listicle format (""9 Tips"") matches intent."
3,Fidelity,fidelity.com,Brokerage,"Youth accounts; free learning-center articles on kids and money","teaching children money; kids financial literacy; teaching kids money","Domain authority + a permanent ""kids and money"" learning-center hub. Ties content to a product (Fidelity Youth Account) so they keep investing in it."
3,NFEC,financialeducatorscouncil.org,For-profit certification body,"Financial educator certifications, curriculum packages","children's financial literacy; kids financial literacy; financial literacy education for kids","Keyword-exact domain name. Long-form pillar page (""Financial Literacy for Kids: Lessons, Activities, Delivery Tips"") targeting the head term."
3,Fin Lit Kids,finlitkidsbox.com,Small business (direct competitor),"Activity box subscription, money books, YouTube edutainment","children's finlit; kids finlit; (social/Shopify pages too)","Owns the exact phrase ""fin lit kids"" as a brand name. Multi-channel: Shopify store + YouTube + Instagram + Facebook + press coverage (Word In Black) all rank, stacking the page-one results."
3,InCharge Debt Solutions,incharge.org,Nonprofit,"Debt counseling; free teacher lesson plans as link bait","children's financial literacy; financial literacy education for kids; financial literacy curriculum elementary","Old, trusted .org. Page title targets teachers exactly: ""Financial Literacy for Kids: Lesson Plans for Elementary Students."" Free downloads earn educator backlinks."
3,University of Phoenix,phoenix.edu,University,"Degrees; blog content for domain visibility","children's financial literacy; kids financial literacy; financial literacy education for kids",".edu domain authority applied to a consumer keyword. Simple explainer format matches ""what to know"" intent."
3,Canada.ca (FCAC),canada.ca,Government (Canada),"Nothing — free parent guidance","children and money; teaching children money; teaching kids money","Government authority. Page title is the literal query: ""Teaching children about money."""
3,BYU Marriott School,marriott.byu.edu,University magazine,"Nothing — editorial feature","children and money; kids and money; teaching children money",".edu authority + storytelling feature (""Money Talks"") that earns natural links."
2,CFPB,consumerfinance.gov,Federal government,"Nothing — Money as You Grow parent program, youth financial education hub","kids and money; financial literacy education for kids","Federal .gov. ""Money as You Grow"" is the canonical age-by-age framework — cited and linked by nearly every bank blog in this list."
2,FINRA,finra.org,Regulator / foundation,"Nothing — investor education, Thinking Money for Kids (with ALA)","kids financial literacy; financial literacy education for kids","Regulator authority. Funds the ALA library program, so libraries across the country link back."
2,Sesame Workshop,sesameworkshop.org,Nonprofit media,"Free financial education videos/printables for young kids","kids financial literacy; financial literacy education for kids","Household brand + nonprofit authority. Topic hub page, decades of backlinks."
2,American Library Association,ala.org + libguides.ala.org,Professional association,"Thinking Money for Kids program kits; children's finlit book collection guides","kids financial literacy; financial literacy books for kids","Librarians' home turf. LibGuides book lists rank for ""financial literacy books"" — and they decide which books libraries buy."
2,Southern Bank,thesouthern.bank,Regional bank,"Banking; age-by-age kids money guide as content marketing","teaching children money; teaching kids money","""Age-By-Age Guide"" format nails the intent. Shows a regional bank blog CAN rank on these terms — the bar is not that high."
2,U.S. News Money,money.usnews.com,Media,"Ad-supported ""Best Money Books for Kids"" roundup","financial literacy books for kids; children's books about money","News domain authority + ""best"" listicle format. This is where book buyers actually land — getting reviewed here matters more than ranking yourself."
2,Amazon,amazon.com,Retailer,"The books themselves — category pages, search pages, best-seller lists","kids and money; financial literacy books for kids; children's books about money","Retail monopoly authority. Its own category and best-seller pages rank for book-buying queries. If a book isn't visible on Amazon, it's invisible in this slice of search."
2,FinLit Fest,finlitfest.com,Nonprofit event,"Kids' financial literacy festival, sponsorships","children's finlit; kids finlit","Exact-match domain for the ""finlit"" abbreviation. Thin competition on that slang term."
2,Finlit App,myfinlitapp.com,Fintech app,"Kids/teen money app with parent controls","children's finlit; kids finlit","Exact-match brand for ""finlit."" App Store listing ranks alongside the site, doubling page-one presence."
2,Stillman Bank,snbonline.com,Regional bank,"Banking; ""Great Children's Books (By Age) To Teach Kids About Money"" post","financial literacy books for kids; children's books about money","Book-list-by-age post matches buyer intent. Another proof that small banks rank with one good evergreen post."
1,Bank of America Private Bank,privatebank.bankofamerica.com,Bank,"Wealth management; digital-age finlit article","children's financial literacy","Enormous domain authority. Fresh angle (digital age / tap-to-pay) differentiates from generic tips posts."
1,Morgan Stanley,morganstanley.com,Bank,"Wealth management; parent conversation guide","children and money","Domain authority + downloadable parent guide."
1,Child Mind Institute,childmind.org,Nonprofit,"Nothing — psychologist-backed parenting article","kids and money","Expert authority (clinical psychologists). E-E-A-T in the flesh: credentials beat keyword stuffing."
1,FinLiteracy Inc.,wearefinlit.org,Nonprofit,"K-12 programs; distributes a children's finlit book + coloring book","children's finlit","Niche .org with the brand word in the domain; low competition on ""finlit."""
1,Junior Achievement,jaofnco.ja.org,Nonprofit,"School finlit programs (JA Finance Park etc.)","kids finlit","National nonprofit network; every local chapter is a subdomain feeding one brand."
1,EverFi,everfi.com (via YouTube),EdTech,"Free K-12 courses sponsored by corporate partners","kids finlit (YouTube result)","Sponsored-curriculum model: banks pay, schools use it free, everyone links to it."
1,FitMoney,fitmoney.org,Nonprofit EdTech,"Free K-12 financial literacy curriculum","financial literacy curriculum elementary","Free + .org + K-12 targeting. Same playbook as FDIC at nonprofit scale."
1,ChooseFI Foundation,choosefifoundation.org,Nonprofit,"Free PreK-12 curriculum","financial literacy curriculum elementary","Free curriculum + passionate FI community linking to it."
1,Cleveland Fed,clevelandfed.org,Federal Reserve bank,"Free curriculum and classroom resources","financial literacy curriculum elementary","Federal Reserve authority; educator resource hub."
1,Edutopia,edutopia.org,Nonprofit media (Lucas Foundation),"Teacher practice articles","financial literacy curriculum elementary","Teacher-trusted publication; practical classroom-integration angle."
1,NEA,nea.org,Teachers' union,"Member resources; finlit teaching tools roundup","financial literacy curriculum elementary","Institutional authority; roundup of tools teachers search for."
1,A Mighty Girl,amightygirl.com,Affiliate content site,"Affiliate book/toy recommendations (""30 Resources to Teach Kids Financial Literacy"")","financial literacy books for kids","Curated niche roundups + loyal audience + affiliate model that rewards thorough lists."
1,Self Sufficient Kids,selfsufficientkids.com,Parenting blog,"Affiliate book lists (""28 Children's Books About Money"")","children's books about money","Long-tail listicle with big number in title; parenting-niche topical authority."
1,My First Nest Egg,myfirstnestegg.com,Fintech app,"Kids' allowance/money app; book listicles as content marketing","children's books about money","App company using book roundups to catch top-of-funnel parents."
1,Lucky Little Learners,luckylittlelearners.com,Teacher blog / TpT seller,"Teacher printables; money-book roundup","children's books about money","2nd-grade teacher niche authority; teachers trust teacher blogs."
1,Brightly (Penguin Random House),readbrightly.com,Publisher content site,"Publisher's own books via curated lists","children's books about money","Publisher-backed site whose whole job is ranking book lists."
1,Barnes & Noble,barnesandnoble.com,Retailer,"Kids finance/money book category","children's books about money","Retail authority; category page ranks like Amazon's."
1,ABA Foundation,aba.com,Trade association,"Financial literacy book list for banker outreach programs","financial literacy books for kids","Bankers association authority; banks nationwide use and link this list."
1,Missouri State Treasurer,treasurer.mo.gov,State government,"Children's books that teach financial lessons (recommended list)","financial literacy books for kids","State .gov book list. Note: state treasurers maintain these lists — each one is a pitchable placement for CGB."
1,Vermont State Treasurer,vermonttreasurer.gov,State government,"Parent/kid finlit resource page","kids financial literacy","State .gov authority; evergreen resource page."
1,WA Dept. of Financial Institutions + OSPI,dfi.wa.gov / ospi.k12.wa.us,State government,"Free elementary financial education resources","financial literacy curriculum elementary","State agencies publishing educator resource lists — again, pitchable."
1,Grow Financial / USPS FCU / Union Bank & Trust / TexasBank / Nebraska DBF,various,Credit unions & banks,"Banking; kids' money blog posts","various single appearances","Local institutions with one decent evergreen post each. CGB's institutional buyers ARE this tier — every partnership is a potential backlink."
